DOI,Materials type,Materials Name,Electrolyte,Voltage (V),Specific surface area (m2/g),Pore volume (cm3/g),IDIG,N-doped (at%),O-doped (at%),E-type,Current density (A/g),Capacitance (F/g)
10.1021/acssuschemeng.5b00926,N-doped porous carbon,122,KOH,1,805.58,0.68,1.51,8.34,9.24,3,100,120
10.1021/acssuschemeng.5b00926,N-doped porous carbon,122,KOH,1,805.58,0.68,1.51,8.34,9.24,2,0.25,300
10.1021/acssuschemeng.5b00926,N-doped porous carbon,122,KOH,1,805.58,0.68,1.51,8.34,9.24,2,0.5,265
10.1021/acssuschemeng.5b00926,N-doped porous carbon,122,KOH,1,805.58,0.68,1.51,8.34,9.24,2,1,238
10.1021/acssuschemeng.5b00926,N-doped porous carbon,122,KOH,1,805.58,0.68,1.51,8.34,9.24,2,2,194
10.1021/acssuschemeng.5b00926,N-doped porous carbon,122,KOH,1,805.58,0.68,1.51,8.34,9.24,2,3,142
10.1021/acssuschemeng.5b00926,N-doped porous carbon,122,KOH,1,805.58,0.68,1.51,8.34,9.24,2,5,132
10.1021/acscentsci.5b00149,3D carbon,HPG,H2SO4,1,4073,2.26,1.121,0.55,17.88,3,0.5,225
10.1021/acscentsci.5b00149,3D carbon,HPG,H2SO4,1,4073,2.26,1.121,0.55,17.88,3,1,194
10.1021/acscentsci.5b00149,3D carbon,HPG,H2SO4,1,4073,2.26,1.121,0.55,17.88,3,2,185
10.1021/acscentsci.5b00149,3D carbon,HPG,H2SO4,1,4073,2.26,1.121,0.55,17.88,3,5,174.4
10.1021/acscentsci.5b00149,3D carbon,HPG,H2SO4,1,4073,2.26,1.121,0.55,17.88,3,10,159
10.1021/acscentsci.5b00149,3D carbon,HPG,H2SO4,1,4073,2.26,1.121,0.55,17.88,3,20,154
10.1021/acscentsci.5b00149,3D carbon,HPG,H2SO4,1,4073,2.26,1.121,0.55,17.88,3,50,150
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,0.1,277
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,0.1,292
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,0.1,302
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,0.2,256
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,0.2,279
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,0.2,281
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,0.5,240
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,0.5,258
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,0.5,261
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,1,236
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,1,248
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,1,254
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,3,224
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,3,238
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,3,246
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,5,219
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,5,233
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,5,239
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,10,210
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,10,223
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,10,228
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@600,H2SO4,1,1009,0.52,0.96,7.18,6.57,3,20,202
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@650,H2SO4,1,1245,0.67,1.02,5.72,6.05,3,20,209
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,H2SO4,1,1638,0.89,1.45,4.36,5.29,3,20,217
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,0.1,155
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,0.2,146
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,0.5,131
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,1,120
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,3,96
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,5,82
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,7,73
10.1021/acsami.7b09801,N-doped porous carbon,MPCFs@700,BMIMBF4,3.5,1638,0.89,1.45,4.36,5.29,2,10,59
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,0.5,266
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,0.5,374
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,0.5,355
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,1,239
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,1,290
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,1,298
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,2,222
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,2,258
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,2,274
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,5,210
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,5,235
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,5,253
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,10,203
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,10,227
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,10,243
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,20,202
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,20,219
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,20,240
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,30,197
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,30,214
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,30,236
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,40,194
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,40,211
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,40,233
10.1021/acsami.6b10893,AC,HEBLC-4,KOH,1,1742,0.79,0.88,1,6.3,3,50,193
10.1021/acsami.6b10893,AC,HEBLC-2,KOH,1,2033,0.98,0.99,0.8,5.6,3,50,207
10.1021/acsami.6b10893,AC,HEBLC-3,KOH,1,2312,1.2,0.98,1.4,4.5,3,50,230
10.1021/acsami.6b10893,AC,HEBLC-3,Na2SO4,0.5,2312,1.2,0.98,1.4,4.5,3,0.5,255.5
10.1021/acsami.6b10893,AC,HEBLC-3,Na2SO4,0.5,2312,1.2,0.98,1.4,4.5,3,1,225
10.1021/acsami.6b10893,AC,HEBLC-3,Na2SO4,0.5,2312,1.2,0.98,1.4,4.5,3,2,215
10.1021/acsami.6b10893,AC,HEBLC-3,Na2SO4,0.5,2312,1.2,0.98,1.4,4.5,3,5,202
10.1021/acsami.6b10893,AC,HEBLC-3,Na2SO4,0.5,2312,1.2,0.98,1.4,4.5,3,10,195
10.1021/acsami.6b10893,AC,HEBLC-3,Na2SO4,0.5,2312,1.2,0.98,1.4,4.5,3,20,178
10.1021/acsami.6b10893,AC,HEBLC-3,Na2SO4,1.8,2312,1.2,0.98,1.4,4.5,2,0.2,45.2
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,1,374.7
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,2,369.7
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,4,364.7
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,6,360.7
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,8,356.3
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,10,350.4
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,20,344.5
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,40,333.6
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,60,323.8
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,80,316.5
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,100,313.1
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,200,283.3
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,300,258
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,400,243.4
10.1021/acs.nanolett.7b00533,porous carbon,CF-MSP,KOH,0.8,2905.6,4.337,0.94,1.95,8.6,3,500,235.9
10.1021/acs.nanolett.5b03923,3D graphene,,H2SO4,0.9,1591,2.62,2.51,0,4.62,3,0.5,303
10.1021/acs.nanolett.5b03923,3D graphene,,H2SO4,0.9,1591,2.62,2.51,0,4.62,3,1,273
10.1021/acs.nanolett.5b03923,3D graphene,,H2SO4,0.9,1591,2.62,2.51,0,4.62,3,2,248
10.1021/acs.nanolett.5b03923,3D graphene,,H2SO4,0.9,1591,2.62,2.51,0,4.62,3,5,218
10.1021/acs.nanolett.5b03923,3D graphene,,H2SO4,0.9,1591,2.62,2.51,0,4.62,3,10,201
10.1021/acs.nanolett.5b03923,3D graphene,,H2SO4,0.9,1591,2.62,2.51,0,4.62,3,20,181
10.1021/acs.nanolett.5b03923,3D graphene,,H2SO4,0.9,1591,2.62,2.51,0,4.62,3,40,153
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-500,KOH,1,552.03,0.513,0.89,22,11.64,3,1,114
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-600,KOH,1,625.56,0.554,0.95,19.98,9.44,3,1,193
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-700,KOH,1,739.84,0.726,1.12,17.18,7.09,3,1,273
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,KOH,1,861.2,0.861,0.98,15.94,6.39,3,1,323
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-900,KOH,1,822.87,0.913,0.97,7.07,7.81,3,1,291
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-600,MMIMBF4,3.8,625.56,0.554,0.95,19.98,9.44,2,0.2,156
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-700,MMIMBF4,3.8,739.84,0.726,1.12,17.18,7.09,2,0.2,215
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,0.2,233.5
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-900,MMIMBF4,3.8,822.87,0.913,0.97,7.07,7.81,2,0.2,193
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,0.6,195.3
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,0.3,218.8
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,0.4,209.2
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,0.8,186.3
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,1,180.7
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,3,138.9
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,5,128.3
10.1021/acs.nanolett.0c04938,Subnanoporous Carbon,CBC-800,MMIMBF4,3.8,861.2,0.861,0.98,15.94,6.39,2,8,116.4
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-800,KOH,1,1634.5,3.67,2.72,0,0,3,1,204.4
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-900,KOH,1,1972.1,4.78,2.55,0,0,3,1,236.5
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-1000,KOH,1,1918.5,2.89,2.42,0,0,3,1,209.2
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-800,KOH,1,1634.5,3.67,2.72,0,0,3,5,135.2
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-900,KOH,1,1972.1,4.78,2.55,0,0,3,5,176.7
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-1000,KOH,1,1918.5,2.89,2.42,0,0,3,5,103.8
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-800,KOH,1,1634.5,3.67,2.72,0,0,3,10,125.7
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-900,KOH,1,1972.1,4.78,2.55,0,0,3,10,165.9
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-1000,KOH,1,1918.5,2.89,2.42,0,0,3,10,94.6
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-800,KOH,1,1634.5,3.67,2.72,0,0,3,20,119.2
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-900,KOH,1,1972.1,4.78,2.55,0,0,3,20,154.8
10.1021/acs.iecr.5b00601,porous carbon,C-4:1-1000,KOH,1,1918.5,2.89,2.42,0,0,3,20,90.2
10.1016/j.jssc.2018.08.041,,PNPC-1,KOH,1,2278.9,1.07,0.8674,1.77,10.42,3,1,158.4
10.1016/j.jssc.2018.08.041,,PNPC-1,KOH,1,2278.9,1.07,0.8674,1.77,10.42,3,2,152.4
10.1016/j.jssc.2018.08.041,,PNPC-1,KOH,1,2278.9,1.07,0.8674,1.77,10.42,3,3,148.3
10.1016/j.jssc.2018.08.041,,PNPC-1,KOH,1,2278.9,1.07,0.8674,1.77,10.42,3,5,146.2
10.1016/j.jssc.2018.08.041,,PNPC-1,KOH,1,2278.9,1.07,0.8674,1.77,10.42,3,10,141.6
10.1016/j.jssc.2018.08.041,,PNPC-1,KOH,1,2278.9,1.07,0.8674,1.77,10.42,3,20,126
10.1016/j.jssc.2018.08.041,,PNPC-1,KOH,1,2278.9,1.07,0.8674,1.77,10.42,3,30,121.5
10.1016/j.jssc.2018.08.041,,PNPC-2,KOH,1,2365.1,1.07,0.878,1.73,9.45,3,1,210.2
10.1016/j.jssc.2018.08.041,,PNPC-2,KOH,1,2365.1,1.07,0.878,1.73,9.45,3,2,208.4
10.1016/j.jssc.2018.08.041,,PNPC-2,KOH,1,2365.1,1.07,0.878,1.73,9.45,3,3,205.3
10.1016/j.jssc.2018.08.041,,PNPC-2,KOH,1,2365.1,1.07,0.878,1.73,9.45,3,5,201.2
10.1016/j.jssc.2018.08.041,,PNPC-2,KOH,1,2365.1,1.07,0.878,1.73,9.45,3,10,197.6
10.1016/j.jssc.2018.08.041,,PNPC-2,KOH,1,2365.1,1.07,0.878,1.73,9.45,3,20,189.4
10.1016/j.jssc.2018.08.041,,PNPC-2,KOH,1,2365.1,1.07,0.878,1.73,9.45,3,30,183.8
10.1016/j.jssc.2018.08.041,,PNPC-3,KOH,1,2549.3,1.08,0.8724,1.44,9.15,3,1,234.2
10.1016/j.jssc.2018.08.041,,PNPC-3,KOH,1,2549.3,1.08,0.8724,1.44,9.15,3,2,233.6
10.1016/j.jssc.2018.08.041,,PNPC-3,KOH,1,2549.3,1.08,0.8724,1.44,9.15,3,3,226.8
10.1016/j.jssc.2018.08.041,,PNPC-3,KOH,1,2549.3,1.08,0.8724,1.44,9.15,3,5,219
10.1016/j.jssc.2018.08.041,,PNPC-3,KOH,1,2549.3,1.08,0.8724,1.44,9.15,3,10,213.8
10.1016/j.jssc.2018.08.041,,PNPC-3,KOH,1,2549.3,1.08,0.8724,1.44,9.15,3,20,204.6
10.1016/j.jssc.2018.08.041,,PNPC-3,KOH,1,2549.3,1.08,0.8724,1.44,9.15,3,30,194.3
10.1016/j.jssc.2018.08.041,,PNPC-4,KOH,1,2599.6,1.57,0.8715,0.99,8.99,3,1,287.1
10.1016/j.jssc.2018.08.041,,PNPC-4,KOH,1,2599.6,1.57,0.8715,0.99,8.99,3,2,283.3
10.1016/j.jssc.2018.08.041,,PNPC-4,KOH,1,2599.6,1.57,0.8715,0.99,8.99,3,3,267.6
10.1016/j.jssc.2018.08.041,,PNPC-4,KOH,1,2599.6,1.57,0.8715,0.99,8.99,3,5,267.6
10.1016/j.jssc.2018.08.041,,PNPC-4,KOH,1,2599.6,1.57,0.8715,0.99,8.99,3,10,258.3
10.1016/j.jssc.2018.08.041,,PNPC-4,KOH,1,2599.6,1.57,0.8715,0.99,8.99,3,20,249.1
10.1016/j.jssc.2018.08.041,,PNPC-4,KOH,1,2599.6,1.57,0.8715,0.99,8.99,3,30,245.1
10.1016/j.jece.2017.11.080,,OC-1,KOH,1,1376,0.75,0.95,0,0,3,1,172
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,3,1,255
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,3,2,212
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,3,5,192
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,3,10,184
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,3,15,181
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,3,20,175
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,2,1,63
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,2,5,60
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,2,10,58.5
10.1016/j.jece.2017.11.080,,OC-2,KOH,1,1463,0.82,0.97,0,0,2,20,57.2
10.1016/j.jece.2017.11.080,,OC-3,KOH,1,1458,0.91,1,0,0,3,1,158
10.1016/j.jece.2017.11.080,,OC-4,KOH,1,1370,1.02,1.02,0,0,3,1,143
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,0.1,174
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,0.1,217
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,0.5,169
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,0.5,208
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,1,162
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,1,201
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,2,155
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,2,193
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,3,150
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,3,188
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,4,146
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,4,184
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,5,143
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,5,180
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,6,140
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,6,177
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,10,107
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,10,150
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,20,71
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,20,117
10.1016/j.electacta.2021.137825,porous carbon network,WPC,EMIMBF4,3.8,3734,2.15,0.94,1.28,6.45,2,30,48
10.1016/j.electacta.2021.137825,porous carbon network,WMFPC,EMIMBF4,3.8,3837,2.22,0.96,1.21,6.36,2,30,92
10.1016/j.electacta.2020.137414,graphene,UGA,EMIMBF4,3.8,351.43,0.22,1.07,7.89,10.33,2,1,145.1
10.1016/j.electacta.2020.137414,graphene,UPGA-30,EMIMBF4,3.8,287.32,0.23,1.19,7.11,8.8,2,1,196.7
10.1016/j.electacta.2020.137414,graphene,UGA,EMIMBF4,3.8,351.43,0.22,1.07,7.89,10.33,2,2,139.7
10.1016/j.electacta.2020.137414,graphene,UPGA-30,EMIMBF4,3.8,287.32,0.23,1.19,7.11,8.8,2,2,190.3
10.1016/j.electacta.2020.137414,graphene,UGA,EMIMBF4,3.8,351.43,0.22,1.07,7.89,10.33,2,3,135.3
10.1016/j.electacta.2020.137414,graphene,UPGA-30,EMIMBF4,3.8,287.32,0.23,1.19,7.11,8.8,2,3,183.9
10.1016/j.electacta.2020.137414,graphene,UGA,EMIMBF4,3.8,351.43,0.22,1.07,7.89,10.33,2,5,128.6
10.1016/j.electacta.2020.137414,graphene,UPGA-30,EMIMBF4,3.8,287.32,0.23,1.19,7.11,8.8,2,5,175.5
10.1016/j.electacta.2020.137414,graphene,UGA,EMIMBF4,3.8,351.43,0.22,1.07,7.89,10.33,2,10,117.3
10.1016/j.electacta.2020.137414,graphene,UPGA-30,EMIMBF4,3.8,287.32,0.23,1.19,7.11,8.8,2,10,163.1
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,1,199
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,1,116
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,1,163
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,1,218
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,1,150
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,2,188
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,2,108
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,2,146
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,2,204
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,2,131
10.1016/j.cej.2021.128573,porous carbon network,HPC-S1,EMIMBF4,3.5,1526,0.24,1.05,0.87,6.4,2,5,168
10.1016/j.cej.2021.128573,porous carbon network,HPC-S2,EMIMBF4,3.5,2705,0.32,1.09,0.62,8.75,2,5,88
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT4.5,EMIMBF4,3.5,2710,0.3,1.07,0.98,7.81,2,5,114
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT9,EMIMBF4,3.5,2807,0.36,1.15,0.87,5.99,2,5,191
10.1016/j.cej.2021.128573,porous carbon network,HPC-AT13.5,EMIMBF4,3.5,3168,0.32,1.06,0.93,8.46,2,5,104
